TIMESTAMP,TOKEN0_SYMBOL,TOKEN1_SYMBOL,AMOUNT0,AMOUNT1,AMOUNT_USD,PRICE,TICK,FEE_TIER,LIQUIDITY
1683504023000,USDC,WETH,-753344.847046,402.5350138540325578,754694.6072906362927744912949722435,1871.50,200976,500,1824410426712906075
1683504023000,USDC,WETH,13086.333292,-6.989487385759293912,13097.27915578540280497362058221011,1872.29,200975,500,1824410426712906075
1683504023000,USDC,WETH,7301.546287,-3.89973643415298818,7307.595158805978821910317393377685,1872.32,200975,500,1824410426712906075
1683504047000,USDC,WETH,1450943.708959,-774.060633793270403182,1451316.283874054491526149829112113,1874.46,200953,500,1824410426712906075
1683504059000,USDC,WETH,-944454.875113,504.809043896038263641,945591.9472904867547276840982371345,1870.92,200980,500,1824410426712906075
1683504059000,USDC,WETH,-250970.184542,133.897558188483870757,251042.1771783828473151903300351482,1874.34,200957,500,1824410426712906075
1683504059000,USDC,WETH,-9211.560563,4.919879547643732863,9219.20073856348980886669894617187,1872.31,200966,500,1824410426712906075
1683504059000,USDC,WETH,-561945.287952,300,562285.656564264594695657713854715,1873.15,200965,500,1824410426712906075
1683504059000,USDC,WETH,556.529628,-0.296942388923900237,556.710673977795028420874590802223,1874.20,200965,500,1824410426712906075
1683504071000,USDC,WETH,3496.331666,-1.869984059284804777,3500.099113561707405102616621065842,1869.71,200989,500,1824410426712906075
1683504071000,USDC,WETH,6691.541881,-3.578944476636317931,6698.77916897640900353096722678545,1869.70,200989,500,1824410426712906075
1683504071000,USDC,WETH,-298266.202077,159.578127835492268447,298771.113987158444109919486811225,1869.09,200985,500,1824410426712906075
1683504071000,USDC,WETH,-284248.22912,152.147946858513541354,284667.0685210674502731214089686775,1868.24,200989,500,1824410426712906075
1683504095000,USDC,WETH,246693.417578,-131.915977792884897023,246934.9236647909095652107308251856,1870.08,200985,500,1824410426712906075
1683504107000,USDC,WETH,249124.507781,-133.202411435311913066,249355.6907574687796539509302618588,1870.27,200984,500,1824410426712906075
1683504107000,USDC,WETH,-183093.751478,98,183360.2046508580935633992117745018,1868.30,200988,500,1824410426712906075
1683504131000,USDC,WETH,-280.31491,0.15,280.6801246536101415159063003270889,1868.77,200984,500,1824410426712906075
1683504143000,USDC,WETH,-14950.132607,8,14969.60868502587421418166935077807,1868.77,200985,500,1824410426712906075
1683504143000,USDC,WETH,-7848.678858,4.2,7858.97417930108396244537640915849,1868.73,200985,500,1824410426712906075
1683504143000,USDC,WETH,7790.4464,-4.164572581746738176,7796.668914355194700296403617320235,1870.65,200984,500,1824410426712906075
1683504155000,USDC,WETH,50000,-26.72733530958549392,50038.64340286768202241950993183775,1870.74,200983,500,1824410426712906075
1683504155000,USDC,WETH,-45342.447095,24.262,45400.2969550725950230594577235722,1868.87,200984,500,1824410426712906075
1683504155000,USDC,WETH,72131.334115,-38.558518997604317472,72187.97390705201570504461503485665,1870.70,200984,500,1824410426712906075
1683504167000,USDC,WETH,-261598.75525,140,261953.8693017027987481792136386163,1868.56,200988,500,1824410426712906075
1683504179000,USDC,WETH,-190409.188452,101.938646277088013425,190702.532330876361423308284735256,1867.88,200991,500,1824410426712906075
1683504179000,USDC,WETH,-190329.318138,101.938646277088013425,190620.2826574038714629128130350064,1867.10,200996,500,1824410426712906075
1683504191000,USDC,WETH,6200,-3.319441613356915531,6205.50024926838730527603444620365,1867.78,201000,500,1824410426712906075
1683504191000,USDC,WETH,-97359.437758,52.172168536560458279,97489.3384677931423662251583728937,1866.12,201000,500,1824410426712906075
1683504191000,USDC,WETH,145869.288015,-78.093560839258251922,145994.9959886017372908232181333794,1867.88,200997,500,1824410426712906075
1683504191000,USDC,WETH,-932.964174,0.5,934.2565820795848417106742802236205,1865.93,201000,500,1824410426712906075
1683504191000,USDC,WETH,-223185.201287,119.594535805169043303,223581.2468534702012708453489999512,1866.18,201001,500,1824410426712906075
1683504215000,USDC,WETH,-3731.836056,2,3737.016008318339366842697120894481,1865.92,201000,500,1824410426712906075
1683504251000,USDC,WETH,-5000,2.679673859601790068,5006.966173306379340214711474567425,1865.90,201000,500,1824410426712906075
1683504251000,USDC,WETH,28394.597421,-15.190924734728940952,28409.15300565961331231757737109598,1869.18,200992,500,1824410426712906075
1683504251000,USDC,WETH,309769.931868,-165.79065588525736631,309990.2466252789311528546804618346,1868.44,200993,500,1824410426712906075
1683504251000,USDC,WETH,-1571.228453,0.841464941290685565,1572.845902578845885058731423913378,1867.25,200993,500,1824410426712906075
1683504263000,USDC,WETH,992610.713071,-530.568268726002549941,992677.9645526106557012579255679865,1870.84,200975,500,1824410426712906075
1683504275000,USDC,WETH,-54763.308972,29.26,54755.81793805730493690865887868625,1871.61,200970,500,1824410426712906075
1683504275000,USDC,WETH,332547.882529,-177.56741077102166632,332396.953096507789752165093925,1872.80,200970,500,1824410426712906075
1683504275000,USDC,WETH,94623.993921,-50.508568800328244842,94565.23749603203403641945936171625,1873.42,200969,500,1824410426712906075
1683504275000,USDC,WETH,1200,-0.640545107148362002,1199.261328144047213047376552626071,1873.40,200970,500,1824410426712906075
1683504299000,USDC,WETH,-98247.929889,52.5,98240.28692785640837962079942348015,1871.39,200971,500,1824410426712906075
1683504311000,USDC,WETH,978.643493,-0.522469361922556804,978.117430435753759134395310566031,1873.11,200971,500,1824410426712906075
1683504311000,USDC,WETH,-2540.024368,1.35740070427603315,2539.927042126788535064550273679769,1871.24,200971,500,1824410426712906075
1683504323000,USDC,WETH,40000,-21.35415401919753652,39977.85722836362983674050465782686,1873.17,200971,500,1824410426712906075
1683504323000,USDC,WETH,18000,-9.608932889494350991,17989.6274612736724863733490079508,1873.26,200970,500,1824410426712906075
1683504335000,USDC,WETH,8912.451792,-4.757630358637585468,8907.222173574001378646218813579,1873.30,200970,500,1824410426712906075
1683504335000,USDC,WETH,-19543.922058,10.443269813728097067,19542.15155719306129578863929072408,1871.44,200970,500,1824410426712906075
1683504335000,USDC,WETH,9921.914002,-5.296421703588332833,9916.018977249173923523103229855565,1873.32,200970,500,1824410426712906075
1683504347000,USDC,WETH,-8982.697091,4.8,8981.983698264014480422473090146755,1871.40,200970,500,1824410426712906075
1683504359000,USDC,WETH,-5000,2.671832598244473234,4999.630289161967455968145640184084,1871.37,200971,500,1824410426712906075
1683504359000,USDC,WETH,189587.282431,-101.193180429981042887,189464.8189777634168855190213235836,1873.52,200968,500,1824410426712906075
1683504371000,USDC,WETH,-20497.926631,10.950371203786254705,20493.57203707028188299840765423037,1871.89,200968,500,1824410426712906075
1683504395000,USDC,WETH,-9468.571822,5.058404889534255108,9466.67149721997864157590994154603,1871.85,200968,500,1824410426712906075
1683504407000,USDC,WETH,71799.583396,-38.317452757965959158,71747.6459311867443696460714235439,1873.81,200967,500,1824410426712906075
1683504407000,USDC,WETH,1500,-0.800550402741216105,1498.954120856061312571636408227815,1873.71,200968,500,1824410426712906075
1683504407000,USDC,WETH,-3275.711304,1.75,3275.066384778546945987359980782671,1871.84,200968,500,1824410426712906075
1683504419000,USDC,WETH,270623.514972,-144.385544036230604127,270391.5074026778664329706886328505,1874.31,200963,500,1824410426712906075
1683504431000,USDC,WETH,-96956.852881,51.774035278961236604,96915.57286219740995882122179288165,1872.69,200964,500,1824410426712906075
1683504431000,USDC,WETH,205317.081385,-109.518461196324739889,205118.426468507820912578917690658,1874.73,200961,500,1824410426712906075
1683504443000,USDC,WETH,164386.550608,-87.660259448696960923,164203.7425083192543526644919303174,1875.27,200958,500,1824410426712906075
1683504455000,USDC,WETH,-23416.516009,12.498134552448307014,23400.87516391643977422823076325507,1873.60,200959,500,1824410426712906075
1683504455000,USDC,WETH,5964.785065,-3.180454984481800192,5957.863981478645856023224265108635,1875.45,200959,500,1824410426712906075
1683504467000,USDC,WETH,-16682.750388,8.9,16667.76120641661018245000218798044,1874.47,200954,500,1824410426712906075
1683504467000,USDC,WETH,-19449.302149,10.375620597152092062,19431.55244644032085073983937865213,1874.52,200954,500,1824410426712906075
1683504467000,USDC,WETH,328354.93563,-175.034750618658087976,327931.0519990476752049844461899394,1875.94,200954,500,1824410426712906075
1683504467000,USDC,WETH,-10496.787929,5.6,10487.46830939135022715955193850455,1874.43,200954,500,1824410426712906075
1683504479000,USDC,WETH,454193.942265,-241.984558169086203434,453485.3801617014523622415882952693,1876.95,200947,500,1824410426712906075
1683504491000,USDC,WETH,-37554.290569,20.021591620193755902,37520.79487333172097536531846010579,1875.69,200948,500,1824410426712906075
1683504491000,USDC,WETH,-15004.898793,8,14991.82384560299580374324124976783,1875.61,200948,500,1824410426712906075
1683504503000,USDC,WETH,-11955.576472,6.374358338486577404,11945.28279471099978742477591230142,1875.57,200948,500,1824410426712906075
1683504503000,USDC,WETH,200,-0.106526472375650312,199.7270800454089445117425472491846,1877.47,200948,500,1824410426712906075
1683504515000,USDC,WETH,455017.839145,-242.31260817926685678,454355.1516216633488196523872278752,1877.81,200943,500,1824410426712906075
1683504515000,USDC,WETH,-97990.266354,52.25,97910.1100477039413431980444125461,1875.41,200950,500,1824410426712906075
1683504527000,USDC,WETH,-14479.375328,7.715989686314742064,14466.68172955583470752915705808154,1876.54,200943,500,1824410426712906075
1683504527000,USDC,WETH,-14111.218762,7.519632452180471997,14098.69021915297447458032688471323,1876.58,200943,500,1824410426712906075
1683504539000,USDC,WETH,134605.68267,-71.652273302042346285,134414.2003426307473310822983848182,1878.60,200941,500,1824410426712906075
1683504551000,USDC,WETH,150,-0.07983843800692225,149.7787310683736044001041427009097,1878.79,200941,500,1824410426712906075
1683504551000,USDC,WETH,25000,-13.306144419473792195,24962.87652840226878785913122962799,1878.83,200941,500,1824410426712906075
1683504563000,USDC,WETH,282474.724221,-150.309807462069878718,282021.3873211459955818391659544546,1879.28,200936,500,1824410426712906075
1683504575000,USDC,WETH,55606.809174,-29.581541598353336984,55527.8455120003597435293406547668,1879.78,200935,500,1824410426712906075
1683504587000,USDC,WETH,-5685.43553,3.027429280526052913,5680.08795287530290710278950179494,1877.97,200935,500,1824410426712906075
1683504587000,USDC,WETH,-3500,1.863723301042266747,3496.720548301960231304089028572989,1877.96,200935,500,1824410426712906075
1683504599000,USDC,WETH,249.998577,-0.132989542503247006,249.6398756889833194451951179537175,1879.84,200935,500,1824410426712906075
1683504599000,USDC,WETH,200,-0.10639227735048558,199.7130727103142280371048503616909,1879.84,200935,500,1824410426712906075
1683504623000,USDC,WETH,10770.334248,-5.729350521922758994,10754.83454162064026385153472550858,1879.85,200935,500,1824410426712906075
1683504623000,USDC,WETH,-5000,2.662419494114941556,4995.275364089473882392831370449371,1877.99,200935,500,1824410426712906075
1683504623000,USDC,WETH,3200,-1.702242553009872408,3195.377406009531628303145056305006,1879.87,200935,500,1824410426712906075
1683504647000,USDC,WETH,-15649.032796,8.332992695114345446,15634.37184234970908677689738802954,1877.96,200935,500,1824410426712906075
1683504671000,USDC,WETH,241354.209009,-128.368151560401536977,240986.4272203233725387081207492305,1880.17,200932,500,1824410426712906075
1683504683000,USDC,WETH,-18326.684867,9.755397013967938199,18306.30502435883442390362443141182,1878.62,200932,500,1824410426712906075
1683504695000,USDC,WETH,4701.20017,-2.5,4693.65249428887617898010558384986,1880.48,200932,500,1824410426712906075
1683504707000,USDC,WETH,-206068.101916,109.709666447772073054,205856.2502750925350770851907410974,1878.30,200935,500,1824410426712906075
1683504719000,USDC,WETH,-100000,53.227449861797631795,99910.91920814828010347333334268475,1878.73,200932,500,1824410426712906075
1683504719000,USDC,WETH,298010.949936,-158.489589706673965236,297545.240971771161882552280618826,1880.32,200930,500,1824410426712906075
1683504731000,USDC,WETH,48526.283518,-25.804091705987516674,48462.05698310185920645159780555553,1880.57,200931,500,1824410426712906075
1683504731000,USDC,WETH,10618.759634,-5.646839315921609251,10604.95028105958330299934265803836,1880.48,200932,500,1824410426712906075
1683504731000,USDC,WETH,100111.572511,-53.228635323683566326,99973.2663345825938345993854060855,1880.78,200930,500,1824410426712906075
1683504743000,USDC,WETH,-3722.714592,1.981173218173905605,3720.324107467344103587283863432948,1879.05,200930,500,1824410426712906075
1683504743000,USDC,WETH,234792.921009,-124.805847130793457041,234503.8015309756902714273125499339,1881.27,200926,500,1824410426712906075
1683504743000,USDC,WETH,45342.447095,-24.096715412277079546,45281.56059722316374805922951010286,1881.69,200925,500,1824410426712906075
1683504743000,USDC,WETH,3000,-1.594375241404741601,2996.028026024164568180314762437488,1881.61,200926,500,1824410426712906075
1683504755000,USDC,WETH,371561.299309,-197.397665102894370867,371002.0652890490876625259392112926,1882.30,200919,500,1824410426712906075
1683504779000,USDC,WETH,-18814.142482,10,18794.74692138970379326021425651451,1881.41,200917,500,1824410426712906075
1683504779000,USDC,WETH,163378.038136,-86.760860322739824265,163137.3009141472635594305701631665,1883.08,200917,500,1824410426712906075
1683504791000,USDC,WETH,300,-0.159297405393689697,299.543237856352039713189994909513,1883.27,200917,500,1824410426712906075
1683504803000,USDC,WETH,15000,-7.96477515134246014,14977.07259880298354965902490028211,1883.29,200917,500,1824410426712906075
1683504815000,USDC,WETH,413583.826467,-219.533371782478737734,412882.7227651326884073406957275292,1883.92,200910,500,1824410426712906075
1683504851000,USDC,WETH,5000,-2.653170350005941997,4993.180801035269749473380944020293,1884.54,200910,500,1824410426712906075
1683504863000,USDC,WETH,20000,-10.612474380825466513,19972.52866846392212220899349740184,1884.57,200910,500,1824410426712906075
1683504875000,USDC,WETH,-9036.991808,4.8,9029.049794722656801808906155139655,1882.71,200910,500,1824410426712906075
1683504887000,USDC,WETH,1048.592814,-0.556406930869331388,1047.151291762023963960174891875737,1884.58,200910,500,1824410426712906075
1683504887000,USDC,WETH,126357.802297,-67.041673900683054951,126177.876784601156003187508388526,1884.77,200908,500,1824410426712906075
1683504911000,USDC,WETH,-49254.308966,26.157464163117672809,49207.29026474768396081913966523071,1882.99,200909,500,1824410426712906075
