Timestamp,Long,Short,Avg Entry Price,USD Balance,Price
1704067200000.0,0,0,0,100000,0
1704067800000.0,0.35000000000000014,0.0,2287.8734753617396,100000.63796734663,2290.77
1704068400000.0,0.41000000000000014,0.0,2291.9036855279514,100001.99643840651,2292.36
1704069000000.0,0.30000000000000004,0.0,2292.3738815823517,100001.76277391473,2291.05
1704069600000.0,0.41000000000000014,0.0,2291.3031818427817,100001.30825645558,2293.95
1704070200000.0,0.3800000000000001,0.0,2291.7082382794697,100001.48340432625,2292.24
1704070800000.0,0.5000000000000002,0.0,2292.8261855542573,100001.72358668718,2295.51
1704071400000.0,0.4700000000000002,0.0,2293.213654797652,100001.93990886492,2294.48
1704072000000.0,0.6200000000000003,0.0,2294.692982082247,100002.32878690101,2298.67
1704072600000.0,0.6500000000000004,0.0,2295.613953150678,100002.79919916794,2299.11
1704073200000.0,0.7800000000000005,0.0,2298.758729718486,100004.40110004047,2304.19
1704073800000.0,0.9200000000000006,0.0,2300.98448141461,100005.5765267015,2305.48
1704074400000.0,0.8600000000000005,0.0,2301.124816202769,100005.90895839442,2303.72
1704075000000.0,0.6400000000000003,0.0,2300.945422456074,100005.58477726187,2298.29
1704075600000.0,0.5800000000000003,0.0,2300.1952623540647,100005.00128534535,2297.29
1704076200000.0,0.6100000000000003,0.0,2299.7899206494135,100004.78555197615,2296.74
1704076800000.0,0.6900000000000004,0.0,2299.2604912854217,100004.57085329697,2298.12
1704077400000.0,0.5000000000000002,0.0,2298.9095467622606,100003.53484662117,2291.7
1704078000000.0,0.5400000000000003,0.0,2297.3229751932963,100002.89919343442,2293.02
1704078600000.0,0.4800000000000002,0.0,2295.9590954533437,100001.84048564766,2290.64
1704079200000.0,0.26,0.0,2293.2755252979264,99999.42350716752,2285.06
1704079800000.0,0.15999999999999992,0.0,2286.250482093635,99997.22840200504,2282.37
1704080400000.0,0.09999999999999991,0.0,2282.7861291644335,99996.55589982648,2280.21
1704081000000.0,0.0,0.09000000000000008,2274.0899854084687,99995.9865292833,2277.46
1704081600000.0,0.0,0.2700000000000002,2274.130124848668,99995.97316958092,2273.81
1704082200000.0,0.0,0.20000000000000012,2275.54900071553,99995.57945559695,2277.5
1704082800000.0,0.0,0.48000000000000037,2273.4713939674934,99995.99626851564,2270.13
1704083400000.0,0.0,0.4400000000000003,2271.169583908508,99996.8428196903,2271.62
1704084000000.0,0.0,0.3500000000000002,2271.980507547545,99996.32352920841,2275.0
1704084600000.0,0.0,0.28000000000000014,2273.5176731755128,99995.5336035609,2276.27
1704085200000.0,0.0,0.17000000000000004,2274.5641144975484,99994.85084717546,2279.55
1704085800000.0,0.0,0.17000000000000004,2278.441694020057,99994.04860565666,2279.78
1704086400000.0,0.0,0.11000000000000001,2281.5476024397976,99993.5693270117,2281.93
1704087000000.0,0.0,0.21000000000000008,2280.1492512904715,99993.73461699906,2278.55
1704087600000.0,0.0,0.19000000000000006,2278.8550209239643,99993.98793377452,2278.15
1704088200000.0,0.0,0.27000000000000013,2277.948664702179,99994.0697510005,2275.76
1704088800000.0,0.0,0.2500000000000001,2276.410026296698,99994.45104105592,2275.89
1704089400000.0,0.0,0.19000000000000006,2276.536249571194,99994.37009998155,2277.79
1704090000000.0,0.0,0.16000000000000003,2277.21355223478,99994.03548602248,2279.4
1704090600000.0,0.0,0.30000000000000016,2276.474603566491,99994.2448352301,2276.14
1704091200000.0,0.0,0.22000000000000008,2277.2161588437248,99993.9463495444,2279.72
1704091800000.0,0.0,0.19000000000000006,2278.8679008848053,99993.54938914193,2281.55
1704092400000.0,0.0,0.17000000000000004,2280.0892560589455,99993.27107423,2281.9
1704093000000.0,0.0,0.07000000000000003,2284.7659433644835,99992.55633272446,2284.99
1704093600000.0,0.0,0.11000000000000001,2283.997389705401,99992.59488828237,2283.9
1704094200000.0,0.0,0.020000000000000025,2284.8764408309166,99992.47334651338,2285.9
1704094800000.0,0.0,0.020000000000000025,2286.2382975,99992.44739922001,2286.11
1704095400000.0,0.0,0.07000000000000003,2284.0931626800007,99992.5195407924,2284.39
1704096000000.0,0.0,0.10000000000000002,2284.266416827667,99992.51255318723,2284.67
1704096600000.0,0.0,0.12000000000000001,2285.3259038125007,99992.37146370251,2284.41
1704097200000.0,0.0,0.09000000000000002,2285.3658575921486,99992.38189345675,2285.37
1704097800000.0,0.0,0.21000000000000008,2284.430674656452,99992.4068384022,2283.01
1704098400000.0,0.0,0.30000000000000016,2282.815990523187,99992.6264586931,2280.2
1704099000000.0,0.0,0.19000000000000006,2282.754372700341,99992.75991886701,2283.27
1704099600000.0,0.0,0.06000000000000003,2283.1998329282574,99992.39292386439,2287.01
1704100200000.0,0.029999999999999978,0.0,2289.597266277777,99992.09617969845,2289.79
1704100800000.0,0.01999999999999997,0.0,2290.2603410008323,99992.03841827014,2288.65
1704101400000.0,0.03999999999999997,0.0,2290.1421672857145,99992.01744296153,2289.6
1704102000000.0,0.38000000000000017,0.0,2294.867373924602,99992.37020066146,2297.97
1704102600000.0,0.4100000000000002,0.0,2296.5118665315645,99992.88735523805,2298.22
1704103200000.0,0.4000000000000002,0.0,2297.476570497924,99993.22300613928,2299.8
1704103800000.0,0.4500000000000002,0.0,2299.063350258699,99993.73019481653,2299.78
1704104400000.0,0.3700000000000001,0.0,2299.4380281143876,99993.88843570248,2298.43
1704105000000.0,0.44000000000000017,0.0,2299.6592632245024,99993.9642534189,2299.34
1704105600000.0,0.43000000000000016,0.0,2299.702915580051,99993.99033133956,2299.81
